country,state,name,lat,lng,timezone,altitude
AM,,Gyumri,40.7942,43.84528,Asia/Yerevan,1549
AM,,Dilijan,40.74037,44.86344,Asia/Yerevan,1345
AM,,Davtashen,40.21642,44.48088,Asia/Yerevan,1118
AM,,Charentsavan,40.40289,44.64447,Asia/Yerevan,1661
AM,,Avan,40.21436,44.57846,Asia/Yerevan,1276
AM,,Ashtarak,40.2991,44.36204,Asia/Yerevan,1142
AM,,Artik,40.61918,43.97207,Asia/Yerevan,1782
AM,,Abovyan,40.27368,44.63348,Asia/Yerevan,1423
AM,,Erebuni,40.13309,44.53009,Asia/Yerevan,1005
AM,,Nor Nork,40.19661,44.5669,Asia/Yerevan,1302
AM,,Ajapnyak,40.19917,44.47056,Asia/Yerevan,1061
AM,,Kanaker-Zeytun,40.22,44.53833,Asia/Yerevan,1280
AM,,Malatia-Sebastia,40.17396,44.4457,Asia/Yerevan,943
AM,,Kentron,40.17806,44.51303,Asia/Yerevan,997
AM,,Shengavit,40.1557,44.4779,Asia/Yerevan,930
AM,,Arabkir,40.20624,44.50365,Asia/Yerevan,1157
AO,,Saurimo,-9.66078,20.39155,Africa/Luanda,1071
AO,,Lucapa,-8.41915,20.74466,Africa/Luanda,955
AO,,Dundo,-7.36643,20.81557,Africa/Luanda,733
AO,,Chitato,-7.3,20.73333,Africa/Luanda,770
AO,,Cassanguidi,-7.48367,21.30339,Africa/Luanda,758
AO,,Lumbala,-14.10165,21.43531,Africa/Luanda,1122
AO,,Luau,-10.70727,22.22466,Africa/Luanda,1106
AO,,Cazombo,-11.89355,22.9024,Africa/Luanda,1121
AO,,Nzagi,-8.38549,15.30126,Africa/Luanda,906
AO,,Uíge,-7.60874,15.06131,Africa/Luanda,825
AO,,Tombôco,-6.80517,13.33017,Africa/Luanda,396
AO,,Soyo,-6.1349,12.36894,Africa/Luanda,10
AO,,Songo,-7.35207,14.84629,Africa/Luanda,721
AO,,Sanza Pombo,-7.31473,16.0024,Africa/Luanda,912
AO,,Ambrizette,-7.23116,12.8666,Africa/Luanda,19
AO,,Negage,-7.75938,15.2722,Africa/Luanda,1240
AO,,N'dalatando,-9.29782,14.91162,Africa/Luanda,795
